315365, -0.04, 0.19, -1.02
315385, -0.04, 0.19, -1.00
315405, -0.04, 0.19, -1.02
315426, -0.04, 0.20, -1.01
315446, -0.04, 0.18, -1.02
315465, -0.04, 0.19, -1.02
315485, -0.05, 0.19, -1.02
315505, -0.04, 0.19, -1.02
315525, -0.04, 0.19, -1.02
315546, -0.05, 0.19, -1.02
315565, -0.04, 0.20, -1.02
315585, -0.05, 0.19, -1.01
315605, -0.04, 0.19, -1.02
315625, -0.05, 0.20, -1.03
315645, -0.04, 0.19, -1.01
315665, -0.04, 0.20, -1.01
315685, -0.04, 0.19, -1.01
315705, -0.05, 0.19, -1.01
315725, -0.04, 0.19, -1.02
315745, -0.04, 0.19, -1.01
315765, -0.04, 0.18, -1.02
315785, -0.04, 0.19, -1.02
315805, -0.04, 0.20, -1.02
315825, -0.05, 0.19, -1.01
315845, -0.04, 0.19, -1.01
315865, -0.04, 0.20, -1.02
315884, -0.04, 0.19, -1.02
315905, -0.05, 0.18, -1.01
315925, -0.04, 0.19, -1.01
315945, -0.04, 0.18, -1.02
315965, -0.05, 0.19, -1.00
315984, -0.04, 0.19, -1.00
316005, -0.04, 0.19, -1.01
316025, -0.05, 0.19, -1.02
316045, -0.05, 0.19, -0.94
316065, -0.27, 0.14, -0.90
316084, -0.10, 0.18, -1.02
316104, -0.26, 0.26, -0.92
316124, -0.43, 0.44, -0.97
316145, -0.41, 0.22, -0.75
316165, -0.09, 0.49, -1.18
316185, 0.45, -0.12, -3.22
316204, -0.58, -0.03, -0.20
316224, -0.32, 0.02, -0.68
316244, -0.05, -0.10, -1.55
316265, -0.95, -0.17, -0.63
316284, -0.17, 0.15, -0.46
316304, -0.15, 0.57, -0.07
316324, -0.56, -0.14, -0.79
316344, -0.66, 0.03, -1.12
316365, 0.69, -0.60, -4.75
316384, -0.63, -0.01, 1.31
316404, -0.87, 0.51, -0.46
316424, -0.84, 0.09, -0.71
316444, -0.98, 0.11, -0.87
316465, -1.22, -0.04, -0.84
316484, -1.15, -0.04, -0.75
316504, -0.99, -0.06, -0.70
316524, -0.76, 0.00, -0.68
316544, -0.57, -0.00, -0.61
316564, -0.52, -0.04, -0.56
316584, -0.59, -0.01, -0.65
316604, -0.62, -0.00, -0.66
316624, -0.57, 0.07, -0.62
316644, -0.80, 0.24, -0.42
316664, -0.52, -0.01, -0.58
316684, -0.47, 0.10, -0.67
316703, -0.56, 0.36, 0.06
316724, -1.01, -0.69, -0.36
316744, -0.90, 0.18, 1.05
316764, -0.33, -0.34, -0.17
316783, -0.33, -0.49, 0.47
316804, -0.68, -0.27, 0.72
316824, -0.76, -0.40, 0.55
316844, -0.76, 0.01, 0.89
316864, -0.98, -0.50, 0.67
316883, -0.77, -0.84, 2.49
316904, -0.87, 0.64, 0.53
316924, 0.07, -1.05, 0.54
316944, -0.12, -1.21, 0.18
316964, -0.19, -1.17, 0.40
316984, 0.22, -0.75, 1.06
317004, 0.33, -0.87, 0.45
317024, 0.58, -1.17, 0.36
317044, 0.69, -1.18, 0.90
317064, 0.58, -1.95, 0.30
317084, 0.72, -1.29, 0.36
317104, -0.00, -1.60, 0.37
317123, -0.18, -1.07, 0.16
317143, -0.03, -0.82, 0.79
317163, 1.31, 0.04, -0.43
317183, -0.22, -0.86, 1.51
317203, -0.05, -0.85, 0.33
317223, 0.39, -0.46, 0.63
317243, -0.01, -0.00, 0.76
317263, 0.43, -0.08, 0.65
317283, -0.36, -1.72, -2.04
317303, -2.11, -1.67, 8.00
317323, -0.92, -0.23, 2.06
317343, -0.27, -0.79, 0.70
317363, -1.00, -0.72, 0.64
317383, -0.08, 0.35, 0.79
317403, -0.09, -0.19, 0.40
317423, 0.19, 0.31, 0.86
317443, -0.71, 0.25, 0.47
317463, -0.80, 0.37, 0.53
317483, -0.70, 0.09, -2.86
317503, -1.46, 0.01, -1.71
317523, -0.24, -0.16, -1.28
317543, 4.65, 1.75, 2.24
317563, 2.19, 0.16, 5.66
317583, 1.60, 1.19, 5.68
317602, 0.23, 0.24, 1.86
317623, 0.42, -0.33, 0.31
317643, 0.37, 0.12, 0.60
317663, 0.16, 0.48, 0.71
317683, 0.20, 0.50, 0.67
317702, 0.33, 0.40, 0.65
317722, 0.18, 0.52, 0.75
317742, 0.17, 0.49, 0.92
317763, 0.25, 0.23, 0.99
317783, 0.16, 0.30, 0.90
317803, 0.14, 0.13, 0.73
317822, 0.01, 0.04, 0.67
317842, 0.17, 0.03, 0.64
317863, -0.04, 0.06, 0.55
317883, -0.08, 0.07, 0.60
317903, -0.06, 0.10, 0.54
317923, -0.08, 0.11, 0.39
317943, -0.43, 0.29, -0.11
317962, -0.68, 0.30, -1.21
317982, -0.50, 0.33, -2.19
318003, 0.39, 0.21, -0.93
318023, 1.90, -0.04, 2.86
318042, 1.97, 0.78, 6.13
318062, 1.34, 0.69, 4.59
318082, 0.71, 0.19, 1.77
318102, 0.22, 0.38, 0.82
318123, 0.17, 0.45, 0.68
318142, 0.17, 0.35, 0.39
318162, 0.19, 0.29, 0.35
318182, 0.25, 0.23, 0.53
318202, 0.24, 0.21, 0.68
318222, 0.17, 0.20, 0.71
318243, 0.14, 0.17, 0.74
318262, 0.11, 0.17, 0.77
318282, 0.10, 0.20, 0.81
318302, 0.07, 0.24, 0.83
318322, 0.04, 0.28, 0.86
318342, 0.05, 0.31, 0.90
318362, 0.02, 0.30, 0.87
318382, -0.28, 0.25, 0.38
318402, -0.65, 0.11, -1.18
318422, -0.15, -0.42, -2.74
318442, 1.14, -0.48, -1.32
318462, 1.86, -0.17, 3.39
318482, 0.70, 0.79, 5.88
318502, 0.35, 1.05, 3.16
318522, 0.05, 0.79, 1.32
318542, -0.32, 0.77, 1.00
318562, -0.04, 0.49, 0.73
318582, 0.14, 0.22, 0.61
318601, 0.23, 0.29, 1.11
318621, 0.05, 0.21, 0.85
318642, 0.02, 0.19, 0.77
318662, -0.04, 0.32, 0.77
318682, -0.13, 0.31, 0.72
318702, -0.06, 0.43, 0.83
318722, -0.13, 0.41, 0.80
318742, -0.16, 0.42, 0.74
318762, -0.20, 0.45, 0.65
318782, -0.19, 0.41, 0.65
318802, -0.12, 0.41, 0.70
318822, -0.13, 0.40, 0.61
318842, -0.18, 0.35, 0.60
318862, -0.11, 0.31, 0.44
318881, -0.17, 0.29, 0.17
318901, -0.23, 0.15, -0.61
318921, -0.02, 0.08, -1.40
318941, 0.27, 0.16, -1.14
318961, 0.71, 0.36, 1.04
318981, 1.25, 0.59, 2.53
319001, -1.69, 1.74, 6.80
319021, -0.12, 0.79, 3.35
319041, 0.08, 0.17, 1.27
319061, 0.14, 0.25, 0.89
319081, -0.01, 0.37, 0.73
319101, -0.02, 0.39, 0.41
319121, -0.03, 0.31, 0.18
319141, 0.17, 0.23, 0.09
319161, -0.01, 0.26, 0.57
319181, -0.08, 0.26, 0.71
319201, -0.06, 0.22, 0.79
319221, -0.11, 0.20, 1.02
319241, -0.13, 0.19, 1.18
319261, -0.13, 0.26, 1.16
319281, -0.10, 0.30, 0.94
